,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00-01:00,Veris,0.42,0.405,0.309,0.036,0.305,0.0,0.001,0.0,0.0,0.0,0.695,0.316,0.308,1.881,5.718,2.139,1.005,0.61,0.509,0.307,0.274,3.117,0.0,0.0,0.0,0.0,0.0,0.0,3.209,2.341,1.805,
00:00-01:00,Cekis,0.0,0.0,0.0,0.006,0.0,0.006,0.007,0.007,0.008,0.007,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01:00-02:00,Veris,0.529,0.405,0.305,0.308,0.305,0.001,0.01,0.0,0.0,0.0,0.669,0.316,0.308,4.424,5.887,2.139,1.007,0.612,0.509,0.306,0.007,3.326,0.0,0.0,0.0,0.0,0.0,0.0,3.209,2.346,1.804,
01:00-02:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.007,0.008,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
02:00-03:00,Veris,0.546,0.407,0.305,0.308,0.325,0.409,0.306,0.302,0.368,0.318,0.597,0.315,0.307,4.126,6.011,2.139,1.007,0.641,0.508,0.307,0.31,3.677,0.0,0.0,0.0,0.0,0.0,0.0,3.208,2.345,1.804,
02:00-03:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
03:00-04:00,Veris,0.547,0.406,0.273,0.308,0.0,0.398,0.305,0.244,0.203,0.405,0.593,0.316,0.308,3.502,5.022,2.136,1.013,0.609,0.509,0.308,0.311,3.719,0.0,0.0,0.0,0.0,0.0,0.0,3.193,2.346,1.805,
03:00-04:00,Cekis,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
04:00-05:00,Veris,0.531,0.406,0.0,0.209,0.029,0.397,0.292,0.0,0.0,0.322,0.493,0.314,0.307,2.905,5.693,1.698,1.116,0.609,0.509,0.307,0.311,4.317,0.0,0.0,0.0,0.0,0.0,0.0,3.107,2.345,1.804,
04:00-05:00,Cekis,0.0,0.0,0.007,0.002,0.006,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
05:00-06:00,Veris,0.604,0.405,0.033,0.0,0.308,0.362,0.0,0.0,0.0,1.218,0.495,0.303,0.307,2.361,5.519,1.627,1.114,0.607,0.507,0.278,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.921,2.339,1.805,
05:00-06:00,Cekis,0.0,0.0,0.006,0.002,0.0,0.0,0.008,0.007,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
06:00-07:00,Veris,0.553,0.405,0.308,0.0,0.226,0.0,0.0,0.0,0.285,1.514,0.454,0.305,0.308,2.596,4.765,1.63,1.082,0.608,0.508,0.304,0.31,0.418,0.0,0.0,0.0,0.0,0.0,0.0,2.918,2.212,1.805,
06:00-07:00,Cekis,0.0,0.0,0.0,0.0,0.002,0.007,0.007,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
07:00-08:00,Veris,0.506,0.407,0.308,0.0,0.308,0.002,0.329,0.233,0.106,1.484,0.504,0.408,0.309,2.596,4.72,1.683,1.085,0.609,0.502,0.265,0.252,2.702,0.0,0.0,0.0,0.0,0.0,0.0,2.915,2.213,1.805,
07:00-08:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.007,0.005,0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
08:00-09:00,Veris,0.506,0.406,0.307,0.0,0.309,0.309,0.348,0.308,0.0,1.382,0.42,0.356,0.258,2.522,4.678,1.734,1.129,0.608,0.409,0.307,0.0,1.218,0.0,0.0,0.0,0.0,0.0,0.0,2.913,2.028,0.51,
08:00-09:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
09:00-10:00,Veris,0.505,0.408,0.308,0.0,0.308,0.309,0.347,0.289,0.0,1.102,0.396,0.301,0.011,2.399,3.995,1.704,1.014,0.61,0.41,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.896,2.096,0.03,
09:00-10:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,
10:00-11:00,Veris,0.506,0.407,0.308,0.0,0.287,0.017,0.324,0.0,0.008,1.026,0.395,0.304,0.31,2.311,3.884,1.651,1.014,0.609,0.408,0.31,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.798,2.187,1.974,
10:00-11:00,Cekis,0.0,0.0,0.0,0.0,0.001,0.007,0.0,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,
11:00-12:00,Veris,0.506,0.408,0.26,0.0,0.0,0.0,0.0,0.0,0.384,0.825,0.406,0.304,0.308,2.314,3.327,1.596,1.014,0.617,0.408,0.31,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.709,2.2,1.988,
11:00-12:00,Cekis,0.0,0.0,0.001,0.0,0.006,0.006,0.007,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,
12:00-13:00,Veris,0.507,0.407,0.0,0.0,0.003,0.0,0.335,0.0,0.0,0.6,0.58,0.305,0.308,2.026,3.42,1.509,1.014,0.72,0.408,0.311,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.203,1.808,
12:00-13:00,Cekis,0.0,0.0,0.006,0.0,0.007,0.007,0.0,0.007,0.006,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,
13:00-14:00,Veris,0.506,0.408,0.016,0.0,0.309,0.0,0.319,0.305,0.031,0.6,0.013,0.306,0.202,1.648,3.35,1.529,1.013,0.72,0.408,0.31,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.152,1.814,
13:00-14:00,Cekis,0.0,0.0,0.006,0.0,0.0,0.007,0.0,0.0,0.006,0.0,0.008,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,
14:00-15:00,Veris,0.366,0.406,0.308,0.0,0.31,0.296,0.467,0.286,0.408,0.595,0.406,0.304,0.005,1.712,3.403,1.528,1.013,0.713,0.408,0.31,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.243,2.791,2.065,1.641,
14:00-15:00,Cekis,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,
15:00-16:00,Veris,0.305,0.222,0.309,0.297,0.294,0.272,0.0,0.0,0.172,0.496,0.408,0.304,0.367,1.61,3.034,1.514,1.012,0.606,0.408,0.31,0.305,0.0,0.0,0.0,0.0,0.0,0.0,4.13,2.805,2.06,1.61,
15:00-16:00,Cekis,0.0,0.003,0.0,0.001,0.0,0.001,0.006,0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:00-17:00,Veris,0.322,0.0,0.31,0.244,0.0,0.305,0.036,0.0,0.0,0.436,0.407,0.304,0.403,1.611,2.78,1.502,1.009,0.509,0.408,0.311,0.307,0.0,0.0,0.0,0.0,0.0,0.0,4.14,2.867,2.026,1.61,
16:00-17:00,Cekis,0.0,0.005,0.0,0.001,0.007,0.0,0.006,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00-18:00,Veris,0.505,0.4,0.159,0.186,0.335,0.29,0.306,0.018,0.0,0.45,0.407,0.304,0.399,0.184,2.706,1.499,0.91,0.51,0.408,0.31,0.307,0.0,0.0,0.0,0.0,0.0,0.0,3.778,2.8,2.023,1.611,
17:00-18:00,Cekis,0.0,0.0,0.002,0.003,0.002,0.0,0.0,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00-19:00,Veris,0.497,0.408,0.0,0.248,0.288,0.0,0.305,0.309,0.008,0.008,0.407,0.304,0.322,1.946,2.415,1.499,0.909,0.509,0.408,0.309,0.306,0.0,0.0,0.0,0.0,0.0,0.0,3.75,2.715,1.982,1.721,
18:00-19:00,Cekis,0.0,0.0,0.005,0.002,0.0,0.009,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00-20:00,Veris,0.306,0.377,0.0,0.435,0.021,0.009,0.275,0.263,0.385,1.128,0.4,0.306,0.703,1.84,2.306,1.471,0.909,0.509,0.408,0.31,0.338,0.0,0.0,0.0,0.0,0.0,0.0,3.627,2.662,1.981,1.783,
19:00-20:00,Cekis,0.0,0.0,0.006,0.0,0.007,0.008,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00-21:00,Veris,0.427,0.279,0.305,0.508,0.467,0.305,0.0,0.0,0.0,0.955,0.315,0.309,0.728,3.3,2.567,1.409,0.908,0.511,0.409,0.309,0.787,0.0,0.0,0.0,0.0,0.0,0.0,3.827,2.548,1.981,1.811,
20:00-21:00,Cekis,0.0,0.001,0.001,0.0,0.0,0.0,0.007,0.007,0.006,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00-22:00,Veris,0.306,0.0,0.276,0.507,0.496,0.306,0.0,0.0,0.027,1.295,0.314,0.308,0.968,0.366,2.614,1.35,0.836,0.508,0.408,0.309,1.387,0.0,0.0,0.0,0.0,0.0,0.0,3.672,2.549,1.981,1.835,
21:00-22:00,Cekis,0.0,0.005,0.0,0.0,0.0,0.0,0.007,0.007,0.008,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00-23:00,Veris,0.305,0.002,0.0,0.441,0.497,0.306,0.295,0.0,0.385,0.998,0.315,0.307,1.151,0.013,2.53,1.348,0.802,0.509,0.407,0.026,1.815,0.0,0.0,0.0,0.0,0.0,0.0,3.496,2.548,1.982,1.845,
22:00-23:00,Cekis,0.0,0.007,0.006,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.004,0.007,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00-24:00,Veris,0.363,0.348,0.0,0.305,0.462,0.305,0.293,0.236,0.0,0.819,0.314,0.307,0.0,3.495,2.528,1.248,0.792,0.509,0.404,0.308,1.432,0.0,0.0,0.0,0.0,0.0,0.0,2.404,1.911,1.485,1.845,
23:00-24:00,Cekis,0.0,0.0,0.006,0.0,0.001,0.0,0.0,0.002,0.007,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
