,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00-01:00,Veris,0.836,0.785,0.688,0.688,1.01,0.245,0.698,0.688,0.232,0.684,0.871,0.267,0.452,7.274,6.424,3.41,1.813,1.212,0.956,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00-01:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00-02:00,Veris,0.931,0.785,0.309,0.36,1.01,0.243,0.012,0.01,0.0,0.632,0.83,0.687,0.0,7.277,6.425,3.056,1.814,1.214,0.972,0.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00-02:00,Cekis,0.0,0.0,0.005,0.004,0.0,0.006,0.008,0.008,0.006,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00-03:00,Veris,0.932,0.783,0.689,0.012,1.009,0.683,0.667,0.646,0.684,0.047,0.815,0.688,0.632,7.279,6.429,3.06,1.801,1.197,0.975,0.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00-03:00,Cekis,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.001,0.0,0.009,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00-04:00,Veris,0.931,0.783,0.69,1.345,0.732,0.688,0.692,0.56,0.371,0.74,0.766,0.687,0.689,6.924,6.427,3.059,1.801,1.015,0.976,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00-04:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00-05:00,Veris,0.935,0.781,0.491,0.689,0.69,0.69,0.023,0.0,0.004,3.176,0.716,0.248,0.538,2.753,6.426,3.053,1.801,1.055,0.975,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00-05:00,Cekis,0.0,0.0,0.001,0.0,0.0,0.0,0.008,0.008,0.007,0.0,0.0,0.006,0.002,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00-06:00,Veris,0.862,0.785,0.368,0.005,0.016,0.084,0.649,0.649,0.691,2.554,0.685,0.689,0.155,5.776,6.429,2.96,1.751,1.307,0.963,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00-06:00,Cekis,0.0,0.0,0.003,0.002,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00-07:00,Veris,0.83,0.738,0.691,0.0,0.524,0.617,0.699,0.068,0.427,2.22,0.684,0.639,0.691,6.731,6.43,2.488,1.643,1.308,0.852,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00-07:00,Cekis,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00-08:00,Veris,0.871,0.708,0.691,0.0,0.688,0.223,0.51,0.293,0.17,1.867,0.685,0.414,0.69,6.436,6.428,2.716,1.375,1.033,0.925,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00-08:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.004,0.004,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00-09:00,Veris,0.868,0.708,0.429,0.0,0.686,0.69,0.67,0.691,0.69,1.65,0.686,0.69,0.674,6.468,6.384,2.623,1.691,1.071,0.914,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00-09:00,Cekis,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
